,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,GROUP6,GROUP7,GROUP8,GROUP9,GROUP10,GROUP11,GROUP12,GROUP13,GROUP14,GROUP15,GROUP16,GROUP17,GROUP18,GROUP19
0.55,0,0.10526,0,0,,0,,0,0,0,0,0,0.02564,0.00858,0,,0,0,0.01685
0.56,0,0.10526,0,0,,0,,0,0,0,0,,0.02564,0.01288,0,,0,0,0
0.57,0,0,0,0,,0,,0,0,0,0,,0.02564,0.01288,0,,0,0,0
0.58,0,0,0,0,,0,,0,0,0,0,,0.02564,0.01288,0,,0,0,0
0.59,0,0,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.6,0,0.05263,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.61,0,0.04211,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.62,0,0.04211,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.63,0,0.04211,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.64,0,0.04211,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.65,0,0.04211,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.66,0,0.03158,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.67,0,0.03158,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.68,0,0.03158,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.69,0,0.03158,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.7,0,0,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.71,0,0,0,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.72,0,0,0,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.73,0,0,,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.74,0,0,,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.75,0,0.03158,,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.76,0,0.03158,,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.77,0,0.03158,,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.78,0,0.03158,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.79,0,0.03158,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.8,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.81,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.82,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.83,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.84,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.85,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.86,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.87,0,0,,0,,,,0,0,0,0,,0,0.00858,0,,0,0,0
0.88,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.89,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.9,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.91,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.92,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.93,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.94,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.95,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.96,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.97,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.98,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.99,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
