,day,type,accuracy,precision,recall,f1-score,threshold
2025,6,tf_pdf,0.3658741847254366,0.31350560702096536,0.866576819407008,0.4604368063014679,0.46
2026,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.47
2027,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.48
2028,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.49
2029,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.5
2030,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.51
2031,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.52
2032,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.53
2033,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.54
2034,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.55
2035,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.56
2036,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.57
2037,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.58
2038,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.59
2039,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.6
2040,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.61
2041,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.62
2042,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.63
2043,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.64
2044,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.65
2045,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.66
2046,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.67
2047,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.68
2048,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.69
2049,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.7
2050,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.71
2051,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.72
2052,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.73
2053,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.74
2054,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.75
2055,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.76
2056,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.77
2057,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.78
2058,6,tf_pdf,0.36608457816116136,0.3135820531577664,0.866576819407008,0.4605192479856759,0.79
2059,6,tf_pdf,0.3658741847254366,0.31341463414634146,0.8659029649595688,0.46024355300859604,0.8
2060,6,tf_pdf,0.36566379128971177,0.31324713344718225,0.8652291105121294,0.45996775926921,0.81
2061,6,tf_pdf,0.36566379128971177,0.31324713344718225,0.8652291105121294,0.45996775926921,0.82
2062,6,tf_pdf,0.36566379128971177,0.31324713344718225,0.8652291105121294,0.45996775926921,0.83
2063,6,tf_pdf,0.36566379128971177,0.31324713344718225,0.8652291105121294,0.45996775926921,0.84
2064,6,tf_pdf,0.36566379128971177,0.31324713344718225,0.8652291105121294,0.45996775926921,0.85
2065,6,tf_pdf,0.36566379128971177,0.31324713344718225,0.8652291105121294,0.45996775926921,0.86
2066,6,tf_pdf,0.36566379128971177,0.31324713344718225,0.8652291105121294,0.45996775926921,0.87
2067,6,tf_pdf,0.36566379128971177,0.31324713344718225,0.8652291105121294,0.45996775926921,0.88
2068,6,tf_pdf,0.36566379128971177,0.31324713344718225,0.8652291105121294,0.45996775926921,0.89
2069,6,tf_pdf,0.36545339785398695,0.31307955100048807,0.8645552560646901,0.4596918667144393,0.9
2070,6,tf_pdf,0.36524300441826213,0.3129118867463998,0.8638814016172507,0.4594158752911665,0.91
2071,6,tf_pdf,0.36524300441826213,0.3129118867463998,0.8638814016172507,0.4594158752911665,0.92
2072,6,tf_pdf,0.36524300441826213,0.3129118867463998,0.8638814016172507,0.4594158752911665,0.93
2073,6,tf_pdf,0.36524300441826213,0.3129118867463998,0.8638814016172507,0.4594158752911665,0.94
2074,6,tf_pdf,0.36503261098253736,0.312744140625,0.8632075471698113,0.45913978494623653,0.95
2075,6,tf_pdf,0.36503261098253736,0.312744140625,0.8632075471698113,0.45913978494623653,0.96
2076,6,tf_pdf,0.36482221754681254,0.3125763125763126,0.862533692722372,0.4588635956264563,0.97
2077,6,tf_pdf,0.36482221754681254,0.3125763125763126,0.862533692722372,0.4588635956264563,0.98
2078,6,tf_pdf,0.3940669051125605,0.32221090168110034,0.8524258760107817,0.4676524953789279,0.99
2079,7,cos,0.18076109936575052,0.18076109936575052,1.0,0.306177260519248,0.01
2080,7,cos,0.1849894291754757,0.18152866242038215,1.0,0.307277628032345,0.02
2081,7,cos,0.1945031712473573,0.1832797427652733,1.0,0.30978260869565216,0.03
2082,7,cos,0.22410147991543342,0.18895027624309393,1.0,0.31784386617100374,0.04
2083,7,cos,0.2558139534883721,0.19473081328751432,0.9941520467836257,0.32567049808429116,0.05
2084,7,cos,0.30655391120507397,0.20606060606060606,0.9941520467836257,0.3413654618473896,0.06
2085,7,cos,0.3668076109936575,0.22135416666666666,0.9941520467836257,0.362087326943557,0.07
2086,7,cos,0.42071881606765327,0.23709902370990238,0.9941520467836257,0.3828828828828829,0.08
2087,7,cos,0.4820295983086681,0.2557427258805513,0.9766081871345029,0.4053398058252427,0.09
2088,7,cos,0.53276955602537,0.2730318257956449,0.9532163742690059,0.4244791666666667,0.1
2089,7,cos,0.5792811839323467,0.29097605893186,0.9239766081871345,0.4425770308123249,0.11
2090,7,cos,0.627906976744186,0.3149284253578732,0.9005847953216374,0.4666666666666667,0.12
2091,7,cos,0.6606765327695561,0.3333333333333333,0.8771929824561403,0.4830917874396135,0.13
2092,7,cos,0.7082452431289641,0.3690773067331671,0.8654970760233918,0.5174825174825175,0.14
2093,7,cos,0.7441860465116279,0.40166204986149584,0.847953216374269,0.5451127819548871,0.15
2094,7,cos,0.773784355179704,0.43302180685358255,0.8128654970760234,0.5650406504065041,0.16
2095,7,cos,0.8044397463002114,0.4756944444444444,0.8011695906432749,0.5969498910675382,0.17
