,group,day_number,source_file,reference_file,news_srouce,news_event,news_event_date,news_numer_in_day
570,19,88,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\catalan\20171205 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day88_CNN_catalan_26.txt,CNN,catalan,20171205,26
571,19,89,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\hk\20141212 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day89_NewYorkTimes_hk_54.txt,NewYorkTimes,hk,20141212,54
572,19,90,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\hk\20141213 061800.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day90_CNN_hk_34.txt,CNN,hk,20141213,34
573,19,91,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\hk\20141214 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day91_Theguardian_hk_79.txt,Theguardian,hk,20141214,79
574,19,95,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\hk\20141218 173900.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day95_CNN_hk_37.txt,CNN,hk,20141218,37
575,19,95,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\hk\20141218 173800.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day95_CNN_hk_36.txt,CNN,hk,20141218,36
576,19,95,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\hk\20141218 172000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day95_CNN_hk_35.txt,CNN,hk,20141218,35
577,19,96,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\catalan\20171213 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day96_Theguardian_catalan_96.txt,Theguardian,catalan,20171213,96
578,19,97,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\hk\20141220 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day97_Theguardian_hk_80.txt,Theguardian,hk,20141220,80
579,19,98,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\catalan\20171215 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day98_CNN_catalan_27.txt,CNN,catalan,20171215,27
541,19,100,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\hk\20141223 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day100_Theguardian_hk_81.txt,Theguardian,hk,20141223,81
542,19,102,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\catalan\20171219 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day102_CNN_catalan_28.txt,CNN,catalan,20171219,28
543,19,104,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\catalan\20171221 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day104_NewYorkTimes_catalan_61.txt,NewYorkTimes,catalan,20171221,61
544,19,104,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\catalan\20171221 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day104_CNN_catalan_29.txt,CNN,catalan,20171221,29
545,19,105,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\catalan\20171222 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day105_Theguardian_catalan_97.txt,Theguardian,catalan,20171222,97
546,19,106,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\catalan\20171223 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day106_Theguardian_catalan_98.txt,Theguardian,catalan,20171223,98
547,19,113,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\catalan\20171230 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day113_CNN_catalan_30.txt,CNN,catalan,20171230,30
580,20,0,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\sewol\20140416 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day0_Theguardian_sewol_34.txt,Theguardian,sewol,20140416,34
581,20,0,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\sewol\20140416 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day0_Theguardian_sewol_33.txt,Theguardian,sewol,20140416,33
584,20,3,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140419 021600.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day3_CNN_sewol_11.txt,CNN,sewol,20140419,11
585,20,4,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\sewol\20140420 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day4_NewYorkTimes_sewol_30.txt,NewYorkTimes,sewol,20140420,30
586,20,5,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140421 100500.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day5_CNN_sewol_13.txt,CNN,sewol,20140421,13
587,20,5,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140421 032200.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day5_CNN_sewol_12.txt,CNN,sewol,20140421,12
588,20,5,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140421 114800.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day5_CNN_sewol_14.txt,CNN,sewol,20140421,14
589,20,7,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\sewol\20140423 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day7_Theguardian_sewol_36.txt,Theguardian,sewol,20140423,36
590,20,7,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\sewol\20140423 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day7_NewYorkTimes_sewol_31.txt,NewYorkTimes,sewol,20140423,31
591,20,7,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140423 191500.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day7_CNN_sewol_18.txt,CNN,sewol,20140423,18
592,20,7,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140423 110400.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day7_CNN_sewol_17.txt,CNN,sewol,20140423,17
593,20,7,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140423 030000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day7_CNN_sewol_16.txt,CNN,sewol,20140423,16
582,20,12,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\sewol\20140428 101100.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day12_CNN_sewol_27.txt,CNN,sewol,20140428,27
583,20,15,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\sewol\20140501 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day15_NewYorkTimes_sewol_32.txt,NewYorkTimes,sewol,20140501,32
594,21,11,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\syria\20170415 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day11_CNN_syria_16.txt,CNN,syria,20170415,16
595,21,12,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\syria\20170416 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day12_Theguardian_syria_57.txt,Theguardian,syria,20170416,57
596,22,0,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\turkish\20160715 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day0_CNN_turkish_1.txt,CNN,turkish,20160715,1
614,22,3,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160718 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day3_Theguardian_turkish_19.txt,Theguardian,turkish,20160718,19
615,22,3,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160718 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day3_Theguardian_turkish_18.txt,Theguardian,turkish,20160718,18
616,22,3,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\turkish\20160718 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day3_NewYorkTimes_turkish_8.txt,NewYorkTimes,turkish,20160718,8
617,22,4,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160719 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day4_Theguardian_turkish_20.txt,Theguardian,turkish,20160719,20
618,22,4,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\turkish\20160719 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day4_CNN_turkish_2.txt,CNN,turkish,20160719,2
619,22,6,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160721 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day6_Theguardian_turkish_21.txt,Theguardian,turkish,20160721,21
620,22,8,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160723 000001.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day8_Theguardian_turkish_25.txt,Theguardian,turkish,20160723,25
621,22,8,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\turkish\20160723 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day8_Theguardian_turkish_24.txt,Theguardian,turkish,20160723,24
