ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,TASK750,GROUP7TH57.TEXT,0.10673,0.25989,0.15132,1
ROUGE-1+StopWordRemoval,TASK1758,GROUP17TH75.TEXT,0.05385,0.03256,0.04058,1
ROUGE-1+StopWordRemoval,TASK1753,GROUP17TH70.TEXT,0.03846,0.08621,0.05319,1
ROUGE-1+StopWordRemoval,TASK1752,GROUP17TH69.TEXT,0.04615,0.07792,0.05797,1
ROUGE-1+StopWordRemoval,TASK1755,GROUP17TH72.TEXT,0.11538,0.11194,0.11364,1
ROUGE-1+StopWordRemoval,TASK1754,GROUP17TH71.TEXT,0.10769,0.06573,0.08163,1
ROUGE-1+StopWordRemoval,TASK1751,GROUP17TH68.TEXT,0.09231,0.06218,0.0743,1
ROUGE-1+StopWordRemoval,TASK1750,GROUP17TH67.TEXT,0.11538,0.10067,0.10753,1
ROUGE-1+StopWordRemoval,TASK728,GROUP7TH35.TEXT,0.09977,0.24294,0.14145,1
ROUGE-1+StopWordRemoval,TASK729,GROUP7TH36.TEXT,0.07425,0.25397,0.1149,1
ROUGE-1+StopWordRemoval,TASK726,GROUP7TH33.TEXT,0.10673,0.23834,0.14744,1
ROUGE-1+StopWordRemoval,TASK727,GROUP7TH34.TEXT,0.11369,0.22273,0.15054,1
ROUGE-1+StopWordRemoval,TASK724,GROUP7TH31.TEXT,0.08817,0.1704,0.11621,1
ROUGE-1+StopWordRemoval,TASK725,GROUP7TH32.TEXT,0.16009,0.21767,0.18449,1
ROUGE-1+StopWordRemoval,TASK722,GROUP7TH29.TEXT,0.09281,0.16598,0.11905,1
ROUGE-1+StopWordRemoval,TASK1749,GROUP17TH66.TEXT,0.09231,0.04762,0.06283,1
ROUGE-1+StopWordRemoval,TASK723,GROUP7TH30.TEXT,0.09513,0.25,0.13782,1
ROUGE-1+StopWordRemoval,TASK720,GROUP7TH27.TEXT,0.11369,0.20763,0.14693,1
ROUGE-1+StopWordRemoval,TASK721,GROUP7TH28.TEXT,0.12993,0.20072,0.15775,1
ROUGE-1+StopWordRemoval,TASK1746,GROUP17TH63.TEXT,0.15385,0.10695,0.12618,1
ROUGE-1+StopWordRemoval,TASK1745,GROUP17TH62.TEXT,0.16923,0.12022,0.14058,1
ROUGE-1+StopWordRemoval,TASK1748,GROUP17TH65.TEXT,0.13077,0.09551,0.11039,1
ROUGE-1+StopWordRemoval,TASK1747,GROUP17TH64.TEXT,0.15385,0.10582,0.12539,1
ROUGE-1+StopWordRemoval,TASK1742,GROUP17TH59.TEXT,0.16923,0.14103,0.15385,1
ROUGE-1+StopWordRemoval,TASK1741,GROUP17TH58.TEXT,0.18462,0.13873,0.15842,1
ROUGE-1+StopWordRemoval,TASK1744,GROUP17TH61.TEXT,0.17692,0.1811,0.17899,1
ROUGE-1+StopWordRemoval,TASK1743,GROUP17TH60.TEXT,0.17692,0.12042,0.1433,1
ROUGE-1+StopWordRemoval,TASK1740,GROUP17TH57.TEXT,0.13077,0.13178,0.13127,1
ROUGE-1+StopWordRemoval,TASK739,GROUP7TH46.TEXT,0.06961,0.13636,0.09217,1
ROUGE-1+StopWordRemoval,TASK737,GROUP7TH44.TEXT,0.15313,0.22148,0.18107,1
ROUGE-1+StopWordRemoval,TASK738,GROUP7TH45.TEXT,0.17633,0.24675,0.20568,1
ROUGE-1+StopWordRemoval,TASK735,GROUP7TH42.TEXT,0.06729,0.14146,0.09119,1
ROUGE-1+StopWordRemoval,TASK736,GROUP7TH43.TEXT,0.06961,0.13761,0.09245,1
ROUGE-1+StopWordRemoval,TASK1739,GROUP17TH56.TEXT,0.2,0.13757,0.16301,1
ROUGE-1+StopWordRemoval,TASK733,GROUP7TH40.TEXT,0.06961,0.14851,0.09479,1
ROUGE-1+StopWordRemoval,TASK1738,GROUP17TH55.TEXT,0.33077,0.23118,0.27215,1
