,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,GROUP6,GROUP7,GROUP8,GROUP9,GROUP10,GROUP11,GROUP12,GROUP13,GROUP14,GROUP15,GROUP16,GROUP17,GROUP18,GROUP19
0.56,0.00641,0.18947,0.04487,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,,0.05769,0.05579,0.00429,,0,0.01031,0.02247
0.57,0.00641,0.06316,0.04487,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,,0.05769,0.04292,0.00429,,0,0.01031,0.02247
0.58,0.00641,0.04211,0.04487,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,,0.05769,0.04292,0.00429,,0,0.01031,0.02247
0.59,0.00641,0.04211,0.04487,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,,0.05769,0.07296,0.00429,,0,0.01031,0.02247
0.6,0.00641,0.11579,0.04487,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,,0.05769,0.07296,0.00429,,0,0.01031,0.02247
0.61,0.00641,0.12632,0.04487,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,,0.05769,0.06438,0.00429,,0,0.01031,0.02247
0.62,0.00641,0.12632,0,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,,0.05769,0.06438,0.00429,,0,0.01031,0.02247
0.63,0.00641,0.10526,0,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,,0.05769,0.06438,0.00429,,0,0.01031,0.02247
0.64,0.00641,0.04211,0,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,,0.05769,0.05579,0.00429,,0,0.01031,0.02247
0.65,0.00641,0.03158,0,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,,0.05769,0.01717,0.00429,,0,0.01031,0.02247
0.66,0.00641,0.03158,0,0.00641,,0.00641,,0.00429,0,0.00429,0.01653,,0.05769,0.01717,0.00429,,0,0.01031,0.02247
0.67,0.00641,0.03158,0,0.00641,,0.00641,,0.00429,0,0.00429,0.00826,,0.05769,0.01717,0.00429,,0,0.01031,0.02247
0.68,0.00641,0.03158,0,0.00641,,0.00641,,0.00429,0,0.00429,0.00826,,0.05769,0.01717,0.00429,,0,0.01031,0.02247
0.69,0.00641,0.03158,0,0.00641,,0.00641,,0.00429,0,0.00429,0.00826,,0.05769,0.01717,0.00429,,0,0.01031,0.02247
0.7,0.00641,0,0,0.00641,,0.00641,,0.00429,0,0.00429,0.00826,,0.05769,0.01717,0.00429,,0,0.01031,0.02247
0.71,0.00641,0,0,0.00641,,,,0.00429,0,0.00429,0.00826,,0.05769,0.01717,0.00429,,0,0.01031,0.02247
0.72,0.00641,0,0,0.00641,,,,0.00429,0,0.00429,0.00826,,0.05769,0.01717,0.00429,,0,0.01031,0.02247
0.73,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.05128,0.01717,0.00429,,0,0.01031,0.02247
0.74,0.00641,0,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.05128,0.01717,0.00429,,0,0.01031,0
0.75,0.00641,0.03158,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.05128,0.01717,0.00429,,0,0.01031,0
0.76,0.00641,0.03158,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.05128,0.01717,0.00429,,0,0.01031,0
0.77,0.00641,0.03158,,0.00641,,,,0.00429,0,0.00429,0.00826,,0.05128,0.01717,0.00429,,0,0.01031,0
